0:0:0:0:0:0:0:1 - - [03/Apr/2019:23:00:57 +0800] "GET / HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [03/Apr/2019:23:01:04 +0800] "GET /admin/governance/services/service.UserService/providers HTTP/1.1" 401 1000
0:0:0:0:0:0:0:1 - - [03/Apr/2019:23:01:08 +0800] "GET /admin/governance/services/service.UserService/providers HTTP/1.1" 200 20663
0:0:0:0:0:0:0:1 - - [03/Apr/2019:23:01:09 +0800] "GET /images/pop_close.png HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [03/Apr/2019:23:01:09 +0800] "GET /images/tip_choose.png HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [03/Apr/2019:23:01:09 +0800] "GET /images/tip_del.png HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [03/Apr/2019:23:01:09 +0800] "GET /images/tip_confirm.png HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [03/Apr/2019:23:01:09 +0800] "GET /images/tip_succeed.png HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [03/Apr/2019:23:01:11 +0800] "GET /admin/ HTTP/1.1" 401 1000
0:0:0:0:0:0:0:1 - - [03/Apr/2019:23:01:11 +0800] "GET /admin/ HTTP/1.1" 200 16684
0:0:0:0:0:0:0:1 - - [03/Apr/2019:23:01:12 +0800] "GET /admin/governance/services HTTP/1.1" 200 13715
0:0:0:0:0:0:0:1 - - [03/Apr/2019:23:01:12 +0800] "GET /images/pop_close.png HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [03/Apr/2019:23:01:12 +0800] "GET /images/tip_confirm.png HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [03/Apr/2019:23:01:12 +0800] "GET /images/tip_choose.png HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [03/Apr/2019:23:01:12 +0800] "GET /images/tip_del.png HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [03/Apr/2019:23:01:12 +0800] "GET /images/tip_succeed.png HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [03/Apr/2019:23:07:16 +0800] "GET /admin/governance/services HTTP/1.1" 200 15159
0:0:0:0:0:0:0:1 - - [03/Apr/2019:23:07:16 +0800] "GET /images/pop_close.png HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [03/Apr/2019:23:07:16 +0800] "GET /images/tip_choose.png HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [03/Apr/2019:23:07:16 +0800] "GET /images/tip_succeed.png HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [03/Apr/2019:23:07:16 +0800] "GET /images/tip_confirm.png HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [03/Apr/2019:23:07:16 +0800] "GET /images/tip_del.png HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [03/Apr/2019:23:07:18 +0800] "GET /admin/governance/services/tt.sso.query.api.UserQueryService/providers HTTP/1.1" 200 23157
0:0:0:0:0:0:0:1 - - [03/Apr/2019:23:07:18 +0800] "GET /images/pop_close.png HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [03/Apr/2019:23:07:18 +0800] "GET /images/tip_choose.png HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [03/Apr/2019:23:07:18 +0800] "GET /images/tip_confirm.png HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [03/Apr/2019:23:07:18 +0800] "GET /images/tip_del.png HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [03/Apr/2019:23:07:18 +0800] "GET /images/tip_succeed.png HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [03/Apr/2019:23:07:19 +0800] "GET /admin/governance/services/tt.sso.query.api.UserQueryService/providers/1 HTTP/1.1" 200 19606
0:0:0:0:0:0:0:1 - - [03/Apr/2019:23:07:19 +0800] "GET /images/pop_close.png HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [03/Apr/2019:23:07:19 +0800] "GET /images/tip_choose.png HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [03/Apr/2019:23:07:19 +0800] "GET /images/tip_confirm.png HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [03/Apr/2019:23:07:19 +0800] "GET /images/tip_del.png HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [03/Apr/2019:23:07:19 +0800] "GET /images/tip_succeed.png HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [03/Apr/2019:23:29:01 +0800] "GET /admin/governance/services HTTP/1.1" 200 13715
0:0:0:0:0:0:0:1 - - [03/Apr/2019:23:29:02 +0800] "GET /images/pop_close.png HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [03/Apr/2019:23:29:02 +0800] "GET /images/tip_choose.png HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [03/Apr/2019:23:29:02 +0800] "GET /images/tip_confirm.png HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [03/Apr/2019:23:29:02 +0800] "GET /images/tip_succeed.png HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [03/Apr/2019:23:29:02 +0800] "GET /images/tip_del.png HTTP/1.1" 404 -
