INFO  - 2016-08-18 16:15:48.249; org.eclipse.jetty.server.Server; jetty-8.1.10.v20130312
INFO  - 2016-08-18 16:15:48.271; org.eclipse.jetty.deploy.providers.ScanningAppProvider; Deployment monitor E:\0808\solr-4.10.2\example\contexts at interval 0
INFO  - 2016-08-18 16:15:48.281; org.eclipse.jetty.deploy.DeploymentManager; Deployable added: E:\0808\solr-4.10.2\example\contexts\solr-jetty-context.xml
INFO  - 2016-08-18 16:15:48.338; org.eclipse.jetty.webapp.WebInfConfiguration; Extract jar:file:/E:/0808/solr-4.10.2/example/webapps/solr.war!/ to E:\0808\solr-4.10.2\example\solr-webapp\webapp
INFO  - 2016-08-18 16:15:50.221; org.eclipse.jetty.webapp.StandardDescriptorProcessor; NO JSP Support for /solr, did not find org.apache.jasper.servlet.JspServlet
INFO  - 2016-08-18 16:15:50.309; org.apache.solr.servlet.SolrDispatchFilter; SolrDispatchFilter.init()
INFO  - 2016-08-18 16:15:50.333; org.apache.solr.core.SolrResourceLoader; JNDI not configured for solr (NoInitialContextEx)
INFO  - 2016-08-18 16:15:50.334; org.apache.solr.core.SolrResourceLoader; solr home defaulted to 'solr/' (could not find system property or JNDI)
INFO  - 2016-08-18 16:15:50.335; org.apache.solr.core.SolrResourceLoader; new SolrResourceLoader for directory: 'solr/'
INFO  - 2016-08-18 16:15:50.527; org.apache.solr.core.ConfigSolr; Loading container configuration from E:\0808\solr-4.10.2\example\solr\solr.xml
INFO  - 2016-08-18 16:15:50.687; org.apache.solr.core.CorePropertiesLocator; Config-defined core root directory: E:\0808\solr-4.10.2\example\solr
INFO  - 2016-08-18 16:15:50.695; org.apache.solr.core.CoreContainer; New CoreContainer 778294389
INFO  - 2016-08-18 16:15:50.711; org.apache.solr.core.CoreContainer; Loading cores into CoreContainer [instanceDir=solr/]
INFO  - 2016-08-18 16:15:50.729; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting socketTimeout to: 0
INFO  - 2016-08-18 16:15:50.731; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting urlScheme to: null
INFO  - 2016-08-18 16:15:50.736; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting connTimeout to: 0
INFO  - 2016-08-18 16:15:50.738; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting maxConnectionsPerHost to: 20
INFO  - 2016-08-18 16:15:50.739; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting corePoolSize to: 0
INFO  - 2016-08-18 16:15:50.740; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting maximumPoolSize to: 2147483647
INFO  - 2016-08-18 16:15:50.741; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting maxThreadIdleTime to: 5
INFO  - 2016-08-18 16:15:50.743; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting sizeOfQueue to: -1
INFO  - 2016-08-18 16:15:50.746; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting fairnessPolicy to: false
INFO  - 2016-08-18 16:15:50.922; org.apache.solr.update.UpdateShardHandler; Creating UpdateShardHandler HTTP client with params: socketTimeout=0&connTimeout=0&retry=false
INFO  - 2016-08-18 16:15:50.924; org.apache.solr.logging.LogWatcher; SLF4J impl is org.slf4j.impl.Log4jLoggerFactory
INFO  - 2016-08-18 16:15:50.926; org.apache.solr.logging.LogWatcher; Registering Log Listener [Log4j (org.slf4j.impl.Log4jLoggerFactory)]
INFO  - 2016-08-18 16:15:50.930; org.apache.solr.core.CoreContainer; Host Name: 
INFO  - 2016-08-18 16:15:50.972; org.apache.solr.core.CorePropertiesLocator; Looking for core definitions underneath E:\0808\solr-4.10.2\example\solr
INFO  - 2016-08-18 16:15:50.988; org.apache.solr.core.CorePropertiesLocator; Found core collection1 in E:\0808\solr-4.10.2\example\solr\collection1\
INFO  - 2016-08-18 16:15:50.990; org.apache.solr.core.CorePropertiesLocator; Found 1 core definitions
INFO  - 2016-08-18 16:15:51.003; org.apache.solr.core.SolrResourceLoader; new SolrResourceLoader for directory: 'E:\0808\solr-4.10.2\example\solr\collection1\'
INFO  - 2016-08-18 16:15:51.077; org.apache.solr.core.SolrConfig; Adding specified lib dirs to ClassLoader
INFO  - 2016-08-18 16:15:51.079; org.apache.solr.core.SolrResourceLoader; Adding 'file:/E:/0808/solr-4.10.2/contrib/extraction/lib/apache-mime4j-core-0.7.2.jar' to classloader
INFO  - 2016-08-18 16:15:51.081; org.apache.solr.core.SolrResourceLoader; Adding 'file:/E:/0808/solr-4.10.2/contrib/extraction/lib/apache-mime4j-dom-0.7.2.jar' to classloader
INFO  - 2016-08-18 16:15:51.082; org.apache.solr.core.SolrResourceLoader; Adding 'file:/E:/0808/solr-4.10.2/contrib/extraction/lib/aspectjrt-1.6.11.jar' to classloader
INFO  - 2016-08-18 16:15:51.083; org.apache.solr.core.SolrResourceLoader; Adding 'file:/E:/0808/solr-4.10.2/contrib/extraction/lib/bcmail-jdk15-1.45.jar' to classloader
INFO  - 2016-08-18 16:15:51.084; org.apache.solr.core.SolrResourceLoader; Adding 'file:/E:/0808/solr-4.10.2/contrib/extraction/lib/bcprov-jdk15-1.45.jar' to classloader
INFO  - 2016-08-18 16:15:51.086; org.apache.solr.core.SolrResourceLoader; Adding 'file:/E:/0808/solr-4.10.2/contrib/extraction/lib/boilerpipe-1.1.0.jar' to classloader
INFO  - 2016-08-18 16:15:51.092; org.apache.solr.core.SolrResourceLoader; Adding 'file:/E:/0808/solr-4.10.2/contrib/extraction/lib/commons-compress-1.7.jar' to classloader
INFO  - 2016-08-18 16:15:51.098; org.apache.solr.core.SolrResourceLoader; Adding 'file:/E:/0808/solr-4.10.2/contrib/extraction/lib/dom4j-1.6.1.jar' to classloader
INFO  - 2016-08-18 16:15:51.099; org.apache.solr.core.SolrResourceLoader; Adding 'file:/E:/0808/solr-4.10.2/contrib/extraction/lib/fontbox-1.8.4.jar' to classloader
INFO  - 2016-08-18 16:15:51.106; org.apache.solr.core.SolrResourceLoader; Adding 'file:/E:/0808/solr-4.10.2/contrib/extraction/lib/icu4j-53.1.jar' to classloader
INFO  - 2016-08-18 16:15:51.108; org.apache.solr.core.SolrResourceLoader; Adding 'file:/E:/0808/solr-4.10.2/contrib/extraction/lib/isoparser-1.0-RC-1.jar' to classloader
INFO  - 2016-08-18 16:15:51.110; org.apache.solr.core.SolrResourceLoader; Adding 'file:/E:/0808/solr-4.10.2/contrib/extraction/lib/jdom-1.0.jar' to classloader
INFO  - 2016-08-18 16:15:51.111; org.apache.solr.core.SolrResourceLoader; Adding 'file:/E:/0808/solr-4.10.2/contrib/extraction/lib/jempbox-1.8.4.jar' to classloader
INFO  - 2016-08-18 16:15:51.112; org.apache.solr.core.SolrResourceLoader; Adding 'file:/E:/0808/solr-4.10.2/contrib/extraction/lib/jhighlight-1.0.jar' to classloader
INFO  - 2016-08-18 16:15:51.113; org.apache.solr.core.SolrResourceLoader; Adding 'file:/E:/0808/solr-4.10.2/contrib/extraction/lib/juniversalchardet-1.0.3.jar' to classloader
INFO  - 2016-08-18 16:15:51.114; org.apache.solr.core.SolrResourceLoader; Adding 'file:/E:/0808/solr-4.10.2/contrib/extraction/lib/metadata-extractor-2.6.2.jar' to classloader
INFO  - 2016-08-18 16:15:51.115; org.apache.solr.core.SolrResourceLoader; Adding 'file:/E:/0808/solr-4.10.2/contrib/extraction/lib/pdfbox-1.8.4.jar' to classloader
INFO  - 2016-08-18 16:15:51.116; org.apache.solr.core.SolrResourceLoader; Adding 'file:/E:/0808/solr-4.10.2/contrib/extraction/lib/poi-3.10.1.jar' to classloader
INFO  - 2016-08-18 16:15:51.117; org.apache.solr.core.SolrResourceLoader; Adding 'file:/E:/0808/solr-4.10.2/contrib/extraction/lib/poi-ooxml-3.10.1.jar' to classloader
INFO  - 2016-08-18 16:15:51.118; org.apache.solr.core.SolrResourceLoader; Adding 'file:/E:/0808/solr-4.10.2/contrib/extraction/lib/poi-ooxml-schemas-3.10.1.jar' to classloader
INFO  - 2016-08-18 16:15:51.124; org.apache.solr.core.SolrResourceLoader; Adding 'file:/E:/0808/solr-4.10.2/contrib/extraction/lib/poi-scratchpad-3.10.1.jar' to classloader
INFO  - 2016-08-18 16:15:51.128; org.apache.solr.core.SolrResourceLoader; Adding 'file:/E:/0808/solr-4.10.2/contrib/extraction/lib/rome-0.9.jar' to classloader
INFO  - 2016-08-18 16:15:51.132; org.apache.solr.core.SolrResourceLoader; Adding 'file:/E:/0808/solr-4.10.2/contrib/extraction/lib/tagsoup-1.2.1.jar' to classloader
INFO  - 2016-08-18 16:15:51.135; org.apache.solr.core.SolrResourceLoader; Adding 'file:/E:/0808/solr-4.10.2/contrib/extraction/lib/tika-core-1.5.jar' to classloader
INFO  - 2016-08-18 16:15:51.136; org.apache.solr.core.SolrResourceLoader; Adding 'file:/E:/0808/solr-4.10.2/contrib/extraction/lib/tika-parsers-1.5.jar' to classloader
INFO  - 2016-08-18 16:15:51.137; org.apache.solr.core.SolrResourceLoader; Adding 'file:/E:/0808/solr-4.10.2/contrib/extraction/lib/tika-xmp-1.5.jar' to classloader
INFO  - 2016-08-18 16:15:51.140; org.apache.solr.core.SolrResourceLoader; Adding 'file:/E:/0808/solr-4.10.2/contrib/extraction/lib/vorbis-java-core-0.1.jar' to classloader
INFO  - 2016-08-18 16:15:51.141; org.apache.solr.core.SolrResourceLoader; Adding 'file:/E:/0808/solr-4.10.2/contrib/extraction/lib/vorbis-java-tika-0.1.jar' to classloader
INFO  - 2016-08-18 16:15:51.145; org.apache.solr.core.SolrResourceLoader; Adding 'file:/E:/0808/solr-4.10.2/contrib/extraction/lib/xercesImpl-2.9.1.jar' to classloader
INFO  - 2016-08-18 16:15:51.146; org.apache.solr.core.SolrResourceLoader; Adding 'file:/E:/0808/solr-4.10.2/contrib/extraction/lib/xmlbeans-2.6.0.jar' to classloader
